Date;HomeTeam;AwayTeam;FTHG;FTAG;FTR;HTHG;HTAG;HTR;Referee;HS;AS;HST;AST;HF;AF;HC;AC;HY;AY;HR;AR
08/09/2017;Metz;Paris SG;1;5;A;1;1;D;;8;23;1;12;10;8;6;7;0;1;1;0
09/09/2017;Caen;Dijon;2;1;H;1;1;D;;12;9;3;4;19;17;8;3;1;2;1;0
09/09/2017;Montpellier;Nantes;0;1;A;0;0;D;;11;12;3;4;7;12;8;3;1;2;1;0
09/09/2017;Nice;Monaco;4;0;H;2;0;H;;9;11;5;1;19;14;2;11;2;2;0;0
09/09/2017;Strasbourg;Amiens;0;1;A;0;1;A;;10;8;3;3;22;14;6;0;1;3;1;0
09/09/2017;Troyes;Toulouse;0;0;D;0;0;D;;11;7;3;0;12;13;4;1;2;3;0;0
10/09/2017;Lyon;Guingamp;2;1;H;1;0;H;;12;13;4;6;16;16;3;6;2;2;0;0
10/09/2017;Marseille;Rennes;1;3;A;0;2;A;;10;17;4;4;18;14;5;2;6;1;0;0
10/09/2017;St Etienne;Angers;1;1;D;1;1;D;;8;15;4;6;9;19;1;3;3;2;1;1
15/09/2017;Toulouse;Bordeaux;0;1;A;0;0;D;;16;14;5;4;17;10;3;9;3;1;0;0
16/09/2017;Dijon;St Etienne;0;1;A;0;0;D;;18;16;7;6;13;14;1;4;3;3;0;0
16/09/2017;Guingamp;Lille;1;0;H;0;0;D;;20;10;4;5;8;17;8;8;1;1;0;0
16/09/2017;Monaco;Strasbourg;3;0;H;1;0;H;;14;10;5;1;13;12;5;5;2;2;0;0
16/09/2017;Nantes;Caen;1;0;H;0;0;D;;8;8;4;1;12;12;4;3;0;2;0;0
16/09/2017;Troyes;Montpellier;0;1;A;0;1;A;;7;9;0;3;19;10;2;6;3;3;1;0
17/09/2017;Amiens;Marseille;0;2;A;0;0;D;;8;22;3;6;11;15;6;3;2;3;0;0
17/09/2017;Angers;Metz;0;1;A;0;0;D;;18;10;5;5;14;14;4;5;1;3;0;0
17/09/2017;Paris SG;Lyon;2;0;H;0;0;D;;14;12;5;5;11;13;9;4;3;2;0;0
17/09/2017;Rennes;Nice;0;1;A;0;0;D;;17;6;4;3;17;17;6;5;1;5;0;0
22/09/2017;Lille;Monaco;0;4;A;0;2;A;;11;12;2;7;18;14;1;1;1;2;0;0
22/09/2017;Nice;Angers;2;2;D;1;2;A;;17;15;3;6;13;18;8;1;4;2;0;0
23/09/2017;Bordeaux;Guingamp;3;1;H;1;0;H;;21;10;8;4;14;14;5;2;4;2;0;0
23/09/2017;Caen;Amiens;1;0;H;0;0;D;;17;2;4;0;14;19;7;3;1;2;0;0
23/09/2017;Lyon;Dijon;3;3;D;1;1;D;;20;11;6;6;17;19;8;1;1;5;0;0
23/09/2017;Metz;Troyes;0;1;A;0;0;D;;15;9;7;2;11;12;5;4;3;3;0;1
23/09/2017;Montpellier;Paris SG;0;0;D;0;0;D;;5;10;2;1;15;13;2;11;2;2;0;0
24/09/2017;Marseille;Toulouse;2;0;H;1;0;H;;22;8;6;1;11;10;12;5;2;0;0;0
24/09/2017;St Etienne;Rennes;2;2;D;1;1;D;;9;9;4;4;11;14;9;5;3;3;1;0
24/09/2017;Strasbourg;Nantes;1;2;A;1;2;A;;21;12;6;5;7;5;12;3;1;1;0;0
29/09/2017;Monaco;Montpellier;1;1;D;1;0;H;;8;15;1;3;19;12;3;4;3;1;0;0
30/09/2017;Dijon;Strasbourg;1;1;D;0;0;D;;13;7;6;1;10;17;7;4;0;2;1;0
30/09/2017;Guingamp;Toulouse;1;1;D;1;1;D;;6;11;4;2;17;18;6;4;1;2;0;0
30/09/2017;Nantes;Metz;1;0;H;1;0;H;;15;9;6;1;14;9;4;4;2;4;0;1
30/09/2017;Paris SG;Bordeaux;6;2;H;5;1;H;;11;17;9;6;10;18;1;5;1;2;0;0
30/09/2017;Rennes;Caen;0;1;A;0;1;A;;9;10;2;3;14;25;8;3;4;1;0;0
01/10/2017;Angers;Lyon;3;3;D;1;3;A;;15;13;4;6;12;14;9;4;2;3;0;1
01/10/2017;Nice;Marseille;2;4;A;2;3;A;;19;17;10;9;14;16;9;5;2;3;0;1
01/10/2017;Troyes;St Etienne;2;1;H;1;0;H;;11;14;7;4;7;17;5;8;3;1;1;1
13/10/2017;Lyon;Monaco;3;2;H;2;2;D;;22;14;7;7;9;15;7;5;4;1;0;0
14/10/2017;Caen;Angers;0;2;A;0;0;D;;22;12;5;4;12;18;4;4;1;4;0;0
14/10/2017;Dijon;Paris SG;1;2;A;0;0;D;;15;18;5;8;10;13;5;9;3;4;0;0
14/10/2017;Guingamp;Rennes;2;0;H;0;0;D;;16;11;9;0;19;15;6;5;3;6;0;1
14/10/2017;Lille;Troyes;2;2;D;1;1;D;;16;10;6;2;16;12;3;1;1;2;1;0
14/10/2017;St Etienne;Metz;3;1;H;0;1;A;;20;10;5;2;10;16;12;5;2;1;0;0
14/10/2017;Toulouse;Amiens;1;0;H;1;0;H;;16;7;6;2;14;21;3;0;1;5;0;1
15/10/2017;Bordeaux;Nantes;1;1;D;0;1;A;;18;14;3;4;13;15;6;2;3;2;0;0
15/10/2017;Montpellier;Nice;2;0;H;0;0;D;;14;15;4;8;14;15;4;7;3;1;0;0
15/10/2017;Strasbourg;Marseille;3;3;D;1;1;D;;19;20;9;7;14;9;4;4;3;3;0;0
20/10/2017;St Etienne;Montpellier;0;1;A;0;1;A;;21;15;4;4;25;17;6;2;2;3;0;0
21/10/2017;Amiens;Bordeaux;1;0;H;0;0;D;;13;14;4;4;12;13;4;3;3;1;0;0
21/10/2017;Angers;Toulouse;0;1;A;0;1;A;;14;3;4;1;11;16;4;2;2;4;0;0
21/10/2017;Metz;Dijon;1;2;A;1;1;D;;15;8;5;6;11;15;2;5;1;2;1;0
21/10/2017;Monaco;Caen;2;0;H;1;0;H;;15;8;6;1;12;17;7;7;3;2;0;0
21/10/2017;Nantes;Guingamp;2;1;H;1;0;H;;9;10;3;4;13;12;3;6;3;1;0;0
21/10/2017;Rennes;Lille;1;0;H;1;0;H;;9;7;6;1;13;17;2;6;1;2;0;1
22/10/2017;Marseille;Paris SG;2;2;D;1;1;D;;11;7;3;3;18;14;3;4;4;3;0;1
22/10/2017;Nice;Strasbourg;1;2;A;0;1;A;;14;15;9;6;5;5;9;1;0;1;0;1
22/10/2017;Troyes;Lyon;0;5;A;0;1;A;;9;14;3;10;12;13;4;3;2;2;1;0
27/10/2017;Paris SG;Nice;3;0;H;2;0;H;;16;8;8;1;10;9;8;2;0;0;0;0
28/10/2017;Bordeaux;Monaco;0;2;A;0;0;D;;12;12;4;5;22;12;6;2;2;0;0;0
28/10/2017;Caen;Troyes;1;0;H;1;0;H;;16;8;3;3;12;13;6;6;1;3;0;0
28/10/2017;Dijon;Nantes;1;0;H;1;0;H;;6;10;1;0;15;19;1;5;3;2;0;0
28/10/2017;Guingamp;Amiens;1;1;D;1;1;D;;12;7;4;2;16;20;5;5;1;5;0;1
28/10/2017;Montpellier;Rennes;0;1;A;0;0;D;;9;7;4;2;15;17;4;1;4;2;0;0
28/10/2017;Strasbourg;Angers;2;2;D;1;0;H;;14;5;6;2;10;12;4;2;3;2;0;0
29/10/2017;Lille;Marseille;0;1;A;0;1;A;;18;10;7;3;18;17;11;4;2;3;0;0
29/10/2017;Lyon;Metz;2;0;H;2;0;H;;12;7;4;4;13;17;3;2;0;3;0;0
29/10/2017;Toulouse;St Etienne;0;0;D;0;0;D;;11;4;4;2;16;19;7;1;2;3;0;0
03/11/2017;Rennes;Bordeaux;1;0;H;1;0;H;;6;6;2;0;14;26;8;0;2;5;0;0
04/11/2017;Angers;Paris SG;0;5;A;0;3;A;;9;15;3;7;8;13;2;4;1;3;0;0
04/11/2017;Monaco;Guingamp;6;0;H;4;0;H;;18;12;9;3;17;9;4;1;1;1;0;0
04/11/2017;Montpellier;Amiens;1;1;D;0;0;D;;10;12;3;1;11;12;3;2;2;1;0;0
04/11/2017;Nantes;Toulouse;2;1;H;1;0;H;;11;10;6;3;20;16;9;4;2;4;0;0
04/11/2017;Troyes;Strasbourg;3;0;H;0;0;D;;13;10;6;2;18;8;4;1;3;1;0;1
05/11/2017;Marseille;Caen;5;0;H;1;0;H;;28;11;11;3;5;9;13;6;0;0;0;0
05/11/2017;Metz;Lille;0;3;A;0;1;A;;19;14;5;7;13;19;9;0;3;2;0;0
05/11/2017;Nice;Dijon;1;0;H;1;0;H;;11;13;4;4;14;9;6;4;1;1;1;0
05/11/2017;St Etienne;Lyon;0;5;A;0;2;A;;13;13;2;10;22;17;5;1;1;2;1;0
17/11/2017;Amiens;Monaco;1;1;D;1;0;H;;10;15;2;4;15;15;4;4;2;3;0;0
17/11/2017;Lille;St Etienne;3;1;H;1;1;D;;12;8;5;3;10;16;8;10;2;3;0;0
18/11/2017;Dijon;Troyes;3;1;H;1;1;D;;15;11;8;4;13;12;4;4;1;1;0;0
18/11/2017;Guingamp;Angers;1;1;D;1;1;D;;9;10;2;2;15;18;1;7;4;4;1;0
18/11/2017;Paris SG;Nantes;4;1;H;2;0;H;;23;8;10;1;9;17;9;2;2;3;0;0
18/11/2017;Strasbourg;Rennes;2;1;H;1;0;H;;11;13;5;4;18;8;6;7;1;0;0;1
18/11/2017;Toulouse;Metz;0;0;D;0;0;D;;21;12;3;5;16;11;9;4;2;3;0;1
19/11/2017;Bordeaux;Marseille;1;1;D;1;0;H;;9;14;3;3;16;14;3;6;4;2;0;0
19/11/2017;Caen;Nice;1;1;D;0;1;A;;18;12;4;7;10;11;12;3;2;3;0;0
19/11/2017;Lyon;Montpellier;0;0;D;0;0;D;;15;15;3;2;11;9;9;6;2;1;0;0
20/11/2017;Amiens;Lille;3;0;H;1;0;H;;8;12;4;1;12;10;4;6;3;2;0;0
24/11/2017;St Etienne;Strasbourg;2;2;D;1;1;D;;12;10;6;4;14;10;7;4;4;2;0;0
25/11/2017;Caen;Bordeaux;1;0;H;1;0;H;;12;10;2;2;13;14;4;8;2;3;0;0
25/11/2017;Dijon;Toulouse;3;1;H;1;0;H;;13;12;5;4;11;16;6;2;3;2;0;0
25/11/2017;Metz;Amiens;0;2;A;0;1;A;;21;11;6;2;17;8;8;1;1;0;0;0
25/11/2017;Montpellier;Lille;3;0;H;3;0;H;;18;10;6;4;13;14;6;7;1;6;0;0
25/11/2017;Rennes;Nantes;2;1;H;0;0;D;;15;10;5;1;17;14;8;2;3;6;0;1
25/11/2017;Troyes;Angers;3;0;H;2;0;H;;9;7;3;3;15;15;4;3;2;4;0;0
26/11/2017;Marseille;Guingamp;1;0;H;1;0;H;;21;4;7;1;11;13;6;2;2;2;0;0
26/11/2017;Monaco;Paris SG;1;2;A;0;1;A;;8;18;2;5;17;13;1;4;3;4;0;0
26/11/2017;Nice;Lyon;0;5;A;0;4;A;;10;11;3;7;19;13;2;2;5;3;1;0
28/11/2017;Amiens;Dijon;2;1;H;1;1;D;;8;16;5;6;5;14;3;6;0;3;0;0
28/11/2017;Bordeaux;St Etienne;3;0;H;2;0;H;;12;11;6;5;12;19;2;6;1;2;0;0
28/11/2017;Strasbourg;Caen;0;0;D;0;0;D;;6;15;3;1;13;13;2;3;1;2;0;0
29/11/2017;Angers;Rennes;1;2;A;1;0;H;;10;8;4;3;9;11;7;4;0;1;0;0
29/11/2017;Guingamp;Montpellier;0;0;D;0;0;D;;10;6;1;4;15;21;8;3;1;3;0;0
29/11/2017;Lyon;Lille;1;2;A;1;2;A;;21;7;5;3;8;13;4;2;0;1;0;0
29/11/2017;Metz;Marseille;0;3;A;0;2;A;;9;21;4;8;13;8;0;9;1;0;0;0
29/11/2017;Nantes;Monaco;1;0;H;0;0;D;;16;9;5;1;9;12;11;5;0;0;0;0
29/11/2017;Paris SG;Troyes;2;0;H;0;0;D;;19;6;6;3;14;16;11;1;0;1;0;0
29/11/2017;Toulouse;Nice;1;2;A;1;0;H;;14;8;3;4;16;12;6;4;3;4;1;1
01/12/2017;Dijon;Bordeaux;3;2;H;1;2;A;;17;14;5;6;15;14;6;4;2;2;0;0
02/12/2017;Lille;Toulouse;1;0;H;0;0;D;;10;10;3;3;17;18;3;6;2;3;0;0
02/12/2017;Monaco;Angers;1;0;H;1;0;H;;5;8;3;3;13;19;5;3;3;3;0;0
02/12/2017;Nice;Metz;3;1;H;1;1;D;;15;13;7;5;10;17;1;5;0;2;0;0
02/12/2017;Rennes;Amiens;2;0;H;0;0;D;;25;6;5;2;10;7;16;0;1;5;0;0
02/12/2017;Strasbourg;Paris SG;2;1;H;1;1;D;;5;29;2;5;20;5;0;13;4;3;0;0
02/12/2017;Troyes;Guingamp;0;1;A;0;1;A;;14;11;3;5;13;9;5;3;2;2;1;1
03/12/2017;Caen;Lyon;1;2;A;0;1;A;;19;11;4;4;18;15;9;4;1;3;0;0
03/12/2017;Montpellier;Marseille;1;1;D;1;1;D;;13;6;4;2;9;23;1;3;4;2;0;0
03/12/2017;St Etienne;Nantes;1;1;D;1;0;H;;13;22;4;6;18;10;5;9;4;1;0;0
08/12/2017;Bordeaux;Strasbourg;0;3;A;0;2;A;;12;10;2;4;14;10;10;5;3;1;0;0
09/12/2017;Angers;Montpellier;1;1;D;0;0;D;;13;10;4;6;15;10;5;4;3;2;0;0
09/12/2017;Guingamp;Dijon;4;0;H;2;0;H;;17;8;9;1;5;7;18;2;0;0;0;1
09/12/2017;Metz;Rennes;1;1;D;1;0;H;;13;5;6;4;14;11;5;6;3;3;0;0
09/12/2017;Monaco;Troyes;3;2;H;0;1;A;;19;5;6;3;14;22;16;1;4;5;0;0
09/12/2017;Paris SG;Lille;3;1;H;1;0;H;;14;7;5;2;14;19;5;4;2;2;0;0
09/12/2017;Toulouse;Caen;2;0;H;0;0;D;;10;11;3;3;15;10;4;5;1;2;0;0
10/12/2017;Amiens;Lyon;1;2;A;1;0;H;;14;12;6;3;11;15;2;2;1;2;0;0
10/12/2017;Marseille;St Etienne;3;0;H;1;0;H;;18;5;7;1;13;10;7;2;1;2;0;1
10/12/2017;Nantes;Nice;1;2;A;1;1;D;;22;12;4;5;13;12;5;3;1;4;0;0
15/12/2017;St Etienne;Monaco;0;4;A;0;2;A;;5;22;3;9;11;11;4;4;1;0;1;0
16/12/2017;Caen;Guingamp;0;0;D;0;0;D;;11;8;2;5;20;13;5;4;2;4;0;0
16/12/2017;Dijon;Lille;3;0;H;3;0;H;;13;9;8;5;14;9;3;4;1;1;0;0
16/12/2017;Montpellier;Metz;1;3;A;1;1;D;;9;6;3;4;10;21;3;2;1;2;0;0
16/12/2017;Rennes;Paris SG;1;4;A;0;2;A;;14;21;2;10;16;10;4;11;4;3;1;1
16/12/2017;Strasbourg;Toulouse;2;1;H;1;1;D;;9;11;5;3;17;15;5;5;2;4;0;0
16/12/2017;Troyes;Amiens;1;0;H;0;0;D;;19;11;7;3;18;14;9;0;4;2;0;0
17/12/2017;Lyon;Marseille;2;0;H;1;0;H;;8;19;5;5;10;19;5;10;0;2;0;0
17/12/2017;Nantes;Angers;1;0;H;1;0;H;;10;7;4;0;9;15;3;6;3;2;1;0
17/12/2017;Nice;Bordeaux;1;0;H;1;0;H;;11;10;3;1;10;15;2;4;1;2;0;0
20/12/2017;Amiens;Nantes;0;1;A;0;0;D;;12;14;5;5;17;13;5;2;3;2;0;0
20/12/2017;Angers;Dijon;2;1;H;1;1;D;;24;16;11;3;16;18;7;3;3;4;0;1
20/12/2017;Bordeaux;Montpellier;0;2;A;0;0;D;;8;14;1;6;14;13;4;2;3;3;0;0
20/12/2017;Guingamp;St Etienne;2;1;H;0;0;D;;27;3;6;3;13;13;10;0;3;2;0;1
20/12/2017;Lille;Nice;1;1;D;0;1;A;;5;8;1;3;18;11;3;4;2;4;0;0
20/12/2017;Marseille;Troyes;3;1;H;1;1;D;;20;8;8;3;11;13;8;2;1;0;0;0
20/12/2017;Metz;Strasbourg;3;0;H;0;0;D;;26;7;9;2;17;13;10;8;4;1;0;0
20/12/2017;Monaco;Rennes;2;1;H;1;0;H;;14;8;4;2;21;19;8;1;3;2;0;0
20/12/2017;Paris SG;Caen;3;1;H;1;0;H;;21;9;7;4;7;12;5;6;2;2;0;0
20/12/2017;Toulouse;Lyon;1;2;A;0;1;A;;17;14;5;10;16;11;8;4;3;2;0;0
12/01/2018;Strasbourg;Guingamp;0;2;A;0;2;A;;14;10;3;5;14;14;7;7;1;2;0;0
13/01/2018;Caen;Lille;0;1;A;0;1;A;;15;12;7;5;15;11;5;3;3;3;1;1
13/01/2018;Dijon;Metz;1;1;D;1;0;H;;12;12;7;6;10;15;6;7;2;2;1;0
13/01/2018;Montpellier;Monaco;0;0;D;0;0;D;;16;13;4;6;15;10;10;6;5;1;0;0
13/01/2018;Nice;Amiens;1;0;H;0;0;D;;20;9;7;3;10;13;7;1;1;0;0;0
13/01/2018;Rennes;Marseille;0;3;A;0;2;A;;13;18;3;5;8;18;3;2;1;2;0;0
13/01/2018;Troyes;Bordeaux;0;1;A;0;1;A;;8;10;3;4;15;13;2;2;4;0;0;0
14/01/2018;Lyon;Angers;1;1;D;0;1;A;;19;9;7;2;11;18;12;1;2;4;0;1
14/01/2018;Nantes;Paris SG;0;1;A;0;1;A;;13;20;3;3;17;11;2;5;3;2;1;0
14/01/2018;St Etienne;Toulouse;2;0;H;1;0;H;;11;19;5;8;14;22;4;10;1;3;0;0
16/01/2018;Bordeaux;Caen;0;2;A;0;0;D;;13;10;5;3;13;12;7;2;3;5;1;0
16/01/2018;Marseille;Strasbourg;2;0;H;0;0;D;;15;4;7;2;6;15;7;4;2;3;0;0
16/01/2018;Monaco;Nice;2;2;D;1;0;H;;6;9;3;5;10;12;6;3;4;4;0;0
17/01/2018;Amiens;Montpellier;1;1;D;0;1;A;;13;16;3;5;10;6;2;3;2;1;0;0
17/01/2018;Angers;Troyes;3;1;H;1;0;H;;12;8;5;2;15;17;8;2;0;5;0;0
17/01/2018;Guingamp;Lyon;0;2;A;0;1;A;;8;21;3;13;20;16;3;11;2;2;0;0
17/01/2018;Lille;Rennes;1;2;A;1;0;H;;11;22;3;12;15;4;2;9;1;0;0;0
17/01/2018;Metz;St Etienne;3;0;H;2;0;H;;19;7;12;4;14;11;6;3;1;4;0;1
17/01/2018;Paris SG;Dijon;8;0;H;4;0;H;;23;6;14;1;8;16;9;4;0;1;0;0
17/01/2018;Toulouse;Nantes;1;1;D;0;1;A;;15;11;3;2;17;16;3;2;2;4;0;0
19/01/2018;Caen;Marseille;0;2;A;0;0;D;;5;12;2;4;18;15;1;4;2;3;0;0
20/01/2018;Amiens;Guingamp;3;1;H;1;1;D;;13;6;6;1;9;11;7;3;0;2;0;0
20/01/2018;Montpellier;Toulouse;2;1;H;1;1;D;;22;9;5;3;18;13;5;4;1;4;0;1
20/01/2018;Nantes;Bordeaux;0;1;A;0;1;A;;14;9;4;3;19;11;3;5;1;2;0;0
20/01/2018;Rennes;Angers;1;0;H;0;0;D;;9;9;2;3;13;17;5;4;3;5;0;1
20/01/2018;Strasbourg;Dijon;3;2;H;2;2;D;;16;12;9;5;17;22;5;1;1;1;0;0
20/01/2018;Troyes;Lille;1;0;H;1;0;H;;7;9;2;1;13;10;5;6;0;2;0;0
21/01/2018;Lyon;Paris SG;2;1;H;1;1;D;;11;11;6;3;16;11;3;7;2;3;0;1
21/01/2018;Monaco;Metz;3;1;H;1;0;H;;13;3;6;2;11;15;6;3;1;1;0;1
21/01/2018;Nice;St Etienne;1;0;H;1;0;H;;7;9;2;2;15;23;4;4;3;1;0;0
26/01/2018;Dijon;Rennes;2;1;H;1;1;D;;14;13;4;4;10;17;3;5;3;2;0;0
27/01/2018;Angers;Amiens;1;0;H;1;0;H;;16;3;7;0;14;19;5;4;1;3;0;0
27/01/2018;Guingamp;Nantes;0;3;A;0;0;D;;6;13;0;5;9;17;3;9;2;3;0;0
27/01/2018;Metz;Nice;2;1;H;0;0;D;;15;13;5;5;26;19;4;2;4;5;0;1
27/01/2018;Paris SG;Montpellier;4;0;H;2;0;H;;11;16;7;3;16;11;2;10;1;2;0;0
27/01/2018;St Etienne;Caen;2;1;H;1;1;D;;12;14;4;3;12;17;3;8;2;1;0;0
27/01/2018;Toulouse;Troyes;1;0;H;1;0;H;;20;1;7;0;11;15;6;2;1;4;0;1
28/01/2018;Bordeaux;Lyon;3;1;H;3;1;H;;9;9;4;4;17;12;2;1;3;3;1;0
28/01/2018;Lille;Strasbourg;2;1;H;0;0;D;;8;11;5;2;5;11;6;2;1;1;0;0
28/01/2018;Marseille;Monaco;2;2;D;1;1;D;;17;9;6;3;20;15;5;7;3;2;0;0
02/02/2018;Marseille;Metz;6;3;H;3;0;H;;18;18;10;8;9;17;3;5;1;0;0;0
03/02/2018;Amiens;St Etienne;0;2;A;0;0;D;;8;16;0;8;10;16;3;4;2;1;0;0
03/02/2018;Lille;Paris SG;0;3;A;0;1;A;;10;19;3;9;11;4;3;9;1;1;0;0
03/02/2018;Montpellier;Angers;2;1;H;1;1;D;;8;8;3;2;10;10;5;1;0;2;0;0
03/02/2018;Nice;Toulouse;0;1;A;0;0;D;;14;6;2;1;14;13;11;1;2;2;0;0
03/02/2018;Strasbourg;Bordeaux;0;2;A;0;1;A;;9;7;0;4;13;15;7;2;1;4;0;0
04/02/2018;Caen;Nantes;3;2;H;1;1;D;;16;14;7;4;11;9;6;4;1;2;0;0
04/02/2018;Monaco;Lyon;3;2;H;2;2;D;;12;13;7;4;18;15;3;7;3;3;1;0
04/02/2018;Rennes;Guingamp;0;1;A;0;0;D;;13;11;5;4;20;12;4;4;2;4;0;0
09/02/2018;St Etienne;Marseille;2;2;D;1;2;A;;7;12;3;4;12;12;2;7;0;0;0;0
10/02/2018;Angers;Monaco;0;4;A;0;2;A;;11;10;1;6;11;6;4;3;1;0;0;0
10/02/2018;Bordeaux;Amiens;3;2;H;2;0;H;;14;19;4;6;11;13;7;11;0;1;0;0
10/02/2018;Dijon;Nice;3;2;H;0;0;D;;11;14;3;5;14;14;4;8;2;3;0;0
10/02/2018;Guingamp;Caen;0;0;D;0;0;D;;6;12;1;2;12;17;1;7;1;2;0;0
10/02/2018;Metz;Montpellier;0;1;A;0;1;A;;12;16;5;8;15;11;11;6;2;1;0;0
10/02/2018;Toulouse;Paris SG;0;1;A;0;0;D;;3;21;1;6;20;13;0;10;4;2;0;0
11/02/2018;Lyon;Rennes;0;2;A;0;1;A;;19;6;6;3;16;8;10;1;2;1;0;0
11/02/2018;Nantes;Lille;2;2;D;1;0;H;;20;7;6;4;9;11;5;7;0;1;0;0
11/02/2018;Strasbourg;Troyes;2;1;H;0;0;D;;12;12;2;4;9;14;4;6;2;2;0;0
16/02/2018;Monaco;Dijon;4;0;H;1;0;H;;14;7;5;4;11;13;5;5;2;1;0;0
17/02/2018;Amiens;Toulouse;0;0;D;0;0;D;;6;12;1;5;11;15;2;6;1;0;1;0
17/02/2018;Angers;St Etienne;0;1;A;0;0;D;;19;10;4;3;14;14;10;5;1;2;0;0
17/02/2018;Caen;Rennes;2;2;D;1;2;A;;18;11;6;5;4;8;12;11;2;0;0;0
17/02/2018;Montpellier;Guingamp;1;1;D;0;1;A;;19;4;5;1;8;15;4;2;1;1;0;0
